country,KMeans_Cluster,DBSCAN_Cluster,KMeans_Silhouette,KMeans_DaviesBouldin,KMeans_CalinskiHarabasz
Afghanistan,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Albania,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Algeria,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Angola,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Antigua and Barbuda,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Argentina,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Armenia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Australia,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Austria,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Azerbaijan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bahamas,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bahrain,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bangladesh,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Barbados,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Belarus,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Belgium,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Belize,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Benin,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bhutan,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bolivia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bosnia and Herzegovina,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Botswana,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Brazil,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Brunei,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Bulgaria,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Burkina Faso,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Burundi,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Cambodia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Cameroon,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Canada,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Cape Verde,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Central African Republic,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Chad,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Chile,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
China,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Colombia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Comoros,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
"Congo, Dem. Rep.",1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
"Congo, Rep.",1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Costa Rica,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Cote d'Ivoire,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Croatia,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Cyprus,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Czech Republic,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Denmark,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Dominican Republic,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Ecuador,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Egypt,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
El Salvador,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Equatorial Guinea,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Eritrea,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Estonia,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Fiji,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Finland,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
France,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Gabon,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Gambia,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Georgia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
